wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
sein vortrag und weit davor und danach gehalt ansprach - ich nenn hier von den aktuell nur die mitreiss red von wolfgang schaubl - durft dazu beigetrag hab , all die verantwort klarzumach , die gegenwart auf uns institution und insbesond auf den regier der 15 mitgliedstaat im hinblick auf den abschluss der regierungskonferenz lastet .	hi speech and other which preced or follow it - and , of the most recent , i would cite wolfgang schäubl 's extrem dramat speech - should have contribut to impress upon everybodi the current respons of the institut and , in particular , the govern of the 15 member state to bring the intergovernment confer to a conclus .	0-0 8-1 2-2 3-3 28-4 22-5 22-6 22-7 0-8 9-9 5-10 12-11 13-12 17-13 18-14 22-15 9-16 10-17 11-18 22-19 21-20 22-21 21-22 22-23 22-24 19-25 23-26 24-27 27-28 26-29 25-30 22-31 22-32 22-33 34-34 35-35 31-36 34-37 34-38 38-39 39-40 39-41 40-42 40-43 41-44 42-45 43-46 44-47 44-48 45-49 46-50 46-51 49-52 51-53 52-54 53-55 53-56 49-57 47-58 51-59 55-60	-260.515162826
in der mundlich anfrag an den rat hab wir um weit klarstell in bezug auf die charta der grundrecht und der einbezieh in die vertrag ersucht .	in our oral question to the council , we request clarif of the issu of the charter of fundament right and it incorpor into the treati .	0-0 0-1 2-2 3-3 4-4 5-5 6-6 5-7 8-8 25-9 11-10 14-11 15-12 13-13 14-14 15-15 16-16 17-17 18-18 18-19 19-20 20-21 21-22 22-23 23-24 24-25 26-26	-93.8098141833
wir muss die prinzipi der subsidiaritat stark acht .	we must have more respect for the principl of subsidiar .	0-0 1-1 1-2 6-3 7-4 2-5 2-6 3-7 4-8 5-9 8-10	-31.2722000362
lass sie mich noch ein bemerk mach , die ich ohn jed polem , in all ruh und sachlich sag , aber mit ein gross inn betroff .	i would like to make one more observ , without ani desir to be controversi , but quit calmli and object , and yet with a sens of great person dismay .	2-0 2-1 2-2 2-3 6-4 4-5 3-6 5-7 7-8 10-9 11-10 12-11 13-12 13-13 12-14 20-15 21-16 12-17 16-18 17-19 18-20 20-21 20-22 21-23 22-24 23-25 12-26 23-27 24-28 12-29 12-30 27-31	-148.979575231
herr ratsprasident , jed wird das wahrschein unterschied seh , aber dies frag liegt wie ein schatt uber der europa union .	mr president-in-offic , everyon will probabl see thi differ , but thi issu is cast a shadow over the european union .	0-0 1-1 2-2 3-3 4-4 6-5 8-6 11-7 7-8 9-9 10-10 11-11 12-12 13-13 16-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21	-52.7883493776
wir hab vertrau in die kommission . uns vertrau in die ratsprasidentschaft , in den rat ist noch steigerungsfah .	we have faith in the commiss , but our faith in the presid , in the council , could be greater .	0-0 1-1 2-2 3-3 4-4 5-5 17-6 18-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 17-17 18-18 18-19 18-20 19-21	-54.26711428
wenn von der wertegemeinschaft gesproch wird - und dazu gab es jung geleg wie anlass der bildung der neu regier in osterreich - , muss gefordert werd , dass die charta der grundrecht klar und deutlich in den vertrag geschrieb wird , um die funktion sein artikel 6 und 7 zu vervollstand .	i would like to point out that , when we talk about the commun of valu , - and there have been recent opportun to do so , such as the format of the new austrian govern - we must demand that the charter of fundament right be clearli includ in the treati in order to fulfil the purpos of articl 6 and 7 of that treati .	8-0 8-1 13-2 50-3 51-4 27-5 28-6 27-7 0-8 10-9 4-10 4-11 2-12 3-13 2-14 3-15 5-16 6-17 7-18 9-19 10-20 9-21 11-22 12-23 8-24 8-25 8-26 6-27 13-28 13-29 15-30 51-31 17-32 17-33 18-34 21-35 19-36 22-37 23-38 24-39 25-40 28-41 29-42 30-43 31-44 32-45 32-46 26-47 33-48 8-49 36-50 37-51 38-52 42-53 42-54 43-55 44-56 43-57 44-58 43-59 46-60 47-61 48-62 49-63 31-64 28-65 38-66 52-67	-306.019793702
wir betracht dies zusammenarbeit als etwas sehr positiv , denn durch sie hab wir einblick in die enorm arbeit erhalt , die dies ratsvorsitz geleistet hat , und die wir zu wurdig wiss .	we deepli appreci that . it ha help us to develop and evolv a consider appreci of the enorm work which thi presid ha put into the task .	13-0 14-1 31-2 33-3 33-4 25-5 25-6 14-7 29-8 30-9 14-10 27-11 14-12 4-13 1-14 31-15 16-16 16-17 17-18 18-19 20-20 22-21 23-22 25-23 31-24 14-25 16-26 14-27 33-28	-152.644890412
das wird ein bleibend beweis fur die arbeit dies prasidentschaft sein .	it will stand the test of time as a testament to the work of thi presid .	0-0 1-1 3-2 6-3 3-4 2-5 3-6 3-7 2-8 3-9 5-10 6-11 7-12 8-13 8-14 9-15 11-16	-55.4480572956
an dritt stell mocht ich etwas zur charta der grundrecht sag .	the third issu is the charter of fundament right . it content is not in question .	8-0 1-1 1-2 11-3 6-4 7-5 8-6 9-7 9-8 11-9 11-10 7-11 11-12 11-13 0-14 2-15 11-16	-90.5199429112
herr prasident , herr ratsprasident , herr kommissar michel barni , lieb kolleginn und kolleg ! wir hab die ausfuhr des herrn prasident jaim gama zu beginn dies aussprach aufmerksam verfolgt .	mr presid , mr president-in-offic , commission barnier , ladi and gentlemen , we listen care to the speech which mr gama gave at the begin of thi debat .	0-0 1-1 2-2 3-3 4-4 5-5 7-6 9-7 10-8 11-9 13-10 12-11 15-12 16-13 23-14 23-15 25-16 18-17 19-18 23-19 21-20 24-21 23-22 26-23 27-24 26-25 27-26 27-27 28-28 31-29	-89.5959757007
je weit die diskussion bei der regierungskonferenz voranschreitet , nimmt dies unvertretbar kontur an : im nam der effizienz versucht man , das neu modell der inn macht und ein spurbar foderalist option durchzusetz .	as the debat advanc within the igc , thi is take an unaccept shape . in the name of effici , attempt are be made to impos the new model of intern power and a markedli federalist option .	9-0 2-1 3-2 11-3 11-4 5-5 6-6 8-7 10-8 9-9 9-10 11-11 11-12 12-13 13-14 15-15 15-16 16-17 17-18 18-19 21-20 19-21 20-22 20-23 12-24 13-25 33-26 22-27 23-28 24-29 25-30 26-31 27-32 28-33 29-34 11-35 31-36 32-37 34-38	-145.115864596
einig mitgliedstaat fallt es gleichermass schwer , dies verschied kulturell sowi polit gebild ein selbstverwalt zuzugesteh und auf bestimmt befugnis im hinblick auf die schaffung ein foderal europas zu verzicht .	some member state are struggl just as hard with grant autonomi to these variou cultur and polit entiti as with relinquish compet to creat a feder europ .	0-0 1-1 1-2 3-3 15-4 15-5 10-6 5-7 21-8 15-9 15-10 6-11 7-12 8-13 9-14 10-15 11-16 12-17 10-18 10-19 15-20 19-21 22-22 24-23 25-24 26-25 27-26 30-27	-112.65469673
wir muss uns dess bewusst sein , dass der rahm fur die gesamt konferenz durch die in amsterdam getroff beschluss abgesteckt wird .	we must be awar that the whole confer is set out accord to the decis taken in amsterdam .	0-0 1-1 1-2 4-3 7-4 11-5 12-6 13-7 21-8 20-9 20-10 20-11 10-12 11-13 19-14 18-15 16-16 17-17 22-18	-65.5097725559
es wurd hier die frag der charta der grundrecht aufgeworf .	the issu of the charter of fundament right ha been rais here .	3-0 4-1 5-2 5-3 6-4 7-5 8-6 8-7 1-8 1-9 9-10 2-11 10-12	-39.1546759401
all dies punkt spiel ein sehr wichtig roll .	all these point are extrem import .	0-0 1-1 2-2 4-3 5-4 6-5 8-6	-22.4832787817
dies betrifft aber nicht die europa union oder , and gesagt , die organ der europa union .	howev , thi is not an eu issu or one for the eu bodi .	2-0 2-1 0-2 0-3 3-4 4-5 6-6 1-7 7-8 9-9 11-10 12-11 16-12 13-13 17-14	-78.4325038509
sie hab - und das ist noch erstaun - einig kommissar vorgeworf , mit unternehm gesproch zu hab .	it is more surpris that you criticis some commission for hold a dialogu with employ .	4-0 5-1 6-2 7-3 4-4 7-5 11-6 9-7 10-8 12-9 11-10 12-11 11-12 13-13 11-14 18-15	-71.3248783896
des weit mocht ich dem vorsitz cox und frau berès sag , dass ich ihr ansicht hinsicht der etapp , die es bei der gross europa debatt zu beacht gilt , teil .	final , i share the opinion express by mr cox and mr berè on the deadlin that need to be respect in the great european debat .	9-0 11-1 13-2 31-3 17-4 15-5 6-6 7-7 8-8 6-9 7-10 8-11 9-12 4-13 4-14 6-15 12-16 28-17 27-18 27-19 28-20 22-21 23-22 24-23 25-24 26-25 32-26	-113.588607186
fur die europa einig , der wir uns verpflichtet fuhl , sind schweig und heimlich das schlimm ; und ich , der ich mit and dies reform aushandel , ich furchtet dies schweig .	the worst thing for the construct of europ we are so commit to , ladi and gentlemen , are silenc and secreci , and in negoti thi reform with other , i have fear that silenc .	15-0 16-1 16-2 0-3 1-4 27-5 1-6 2-7 6-8 11-9 27-10 8-11 10-12 10-13 27-14 28-15 27-16 28-17 11-18 12-19 13-20 27-21 28-22 18-23 23-24 27-25 25-26 26-27 23-28 24-29 28-30 29-31 28-32 30-33 31-34 32-35 33-36	-151.403773236
herr prasident , leid hat die prasidentin heut morg mein wortmeld uberseh .	mr presid , i fail to catch the presid 's eye thi morn .	0-0 1-1 2-2 9-3 11-4 12-5 11-6 5-7 6-8 5-9 11-10 12-11 8-12 12-13	-61.4435871693
die mensch in birma leb nun seit ein jahrzehnt in ein diktatur .	there ha been a whole decad of dictatorship in that countri .	11-0 6-1 6-2 7-3 11-4 8-5 10-6 11-7 9-8 10-9 11-10 12-11	-49.809103332
ihr mann starb im marz an kreb .	in march , her husband die of cancer .	3-0 4-1 5-2 2-3 2-4 2-5 5-6 6-7 7-8	-25.1026415702
das heisst , wir hab nun ein neu parlament , das von and wahl gewahlt wurd .	in other word , we have a new parliament instal by a new elector .	11-0 12-1 1-2 2-3 3-4 4-5 6-6 7-7 8-8 14-9 11-10 6-11 7-12 13-13 16-14	-50.7744434189
fur viel zuverlass unternehm , insbesond klein und mittl , verursacht der zahlungsverzug im geschaftsverkehr gross problem .	late payment often suffoc mani credibl busi , particularli small and medium-s compani .	12-0 12-1 12-2 12-3 1-4 12-5 3-6 4-7 5-8 6-9 7-10 8-11 3-12 17-13	-52.9030854288
soll denn die steuersystem uns staat aus jed glas wein , das wir trink , profit schlag ?	but is it right that the tax system of our state should benefit everi singl time we drink a glass of wine ?	13-0 11-1 11-2 13-3 14-4 2-5 3-6 3-7 4-8 4-9 5-10 16-11 15-12 7-13 13-14 13-15 12-16 13-17 14-18 8-19 6-20 9-21 17-22	-101.37510275
aufgrund dies zusag unternahm die stark antialkoholikerbeweg nicht geg den beitritt schwed , was wahrschein den ausschlag dafur gab , dass schwed mitglied der eu wurd .	thi pledg meant that the power temper movement did not campaign against swedish membership of the eu , which wa probabl the decis factor in sweden 's becom a member of the eu .	1-0 2-1 6-2 1-3 4-4 5-5 6-6 6-7 6-8 7-9 6-10 8-11 6-12 6-13 23-14 23-15 24-16 19-17 19-18 18-19 14-20 15-21 16-22 16-23 17-24 21-25 23-26 22-27 23-28 22-29 23-30 23-31 24-32 26-33	-130.148118311
die charta ist notwend , um fur die jetzig und kunftig burg der union rechtsstaat garanti zu schaff .	the charter is requir for the purpos of provid the union 's present and futur citizen with constitut guarante .	0-0 1-1 2-2 3-3 6-4 7-5 8-6 12-7 15-8 12-9 13-10 12-11 8-12 9-13 10-14 11-15 12-16 14-17 15-18 18-19	-66.5971348138
in dies ihr kampf steht ihn die kommunist partei griechenland nach wie vor unerschutt zur seit .	as alway , the communist parti of greec will be stand firmli by their side .	11-0 13-1 6-2 6-3 7-4 8-5 6-6 9-7 10-8 10-9 13-10 13-11 10-12 2-13 15-14 16-15	-69.2737173721
aus uns sicht war es effektiv , fortschritt beim statut der europa aktiengesellschaft zu erziel .	it is our belief that it would be more effect to advanc the statu of the european compani statut .	4-0 4-1 1-2 12-3 6-4 4-5 3-6 4-7 5-8 5-9 6-10 7-11 8-12 9-13 10-14 10-15 11-16 12-17 9-18 15-19	-70.6189938294
europa und die usa woll dies arme gemeinsam als bewaffnet arm der dreierallianz iwf-weltbank-wto durchsetz .	togeth , europ and the unit state are seek to impos thi armi as the militari arm of the imf-world bank-wto triangl .	7-0 2-1 0-2 1-3 2-4 3-5 3-6 12-7 12-8 11-9 12-10 5-11 6-12 8-13 11-14 12-15 9-16 11-17 11-18 12-19 12-20 12-21 15-22	-84.4994975997
es muss sorgfalt uberlegt werd , wie das europa parlament in verteidigungs- und sicherheitspolit frag eingebund werd soll .	care consider ought to be given to the way in which the european parliament is to be involv in the area of defenc and secur polici .	2-0 3-1 11-2 5-3 4-4 3-5 5-6 7-7 11-8 10-9 5-10 7-11 8-12 9-13 17-14 17-15 16-16 15-17 10-18 7-19 11-20 10-21 11-22 12-23 13-24 13-25 18-26	-106.814087892
natur war wir hint den kuliss aktiv , wenn ich so sag darf , und hab informell , aber nutzlich treff mit den im rahm der national delegation anwes parlamentari der mitgliedstaat und der sich auf den beitritt zur europa union vorbereit land durchgefuhrt .	certainli we were activ behind the scene , if i can call it that , and we had inform but use meet with member of parliament from the member state and the candid countri for membership of the european union attend as part of their nation deleg .	5-0 2-1 1-2 6-3 3-4 4-5 5-6 7-7 8-8 9-9 12-10 5-11 10-12 11-13 13-14 14-15 15-16 15-17 16-18 18-19 19-20 20-21 21-22 29-23 30-24 29-25 27-26 30-27 31-28 31-29 32-30 36-31 37-32 42-33 41-34 37-35 38-36 38-37 39-38 40-39 28-40 23-41 24-42 25-43 20-44 26-45 27-46 44-47	-194.247444013
wir hab erst vor kurz den 50. jahrestag der erklar von robert schuman , dem grundungsvat europas , gefeiert .	we have just celebr the 50th anniversari of the robert schuman declar , the father of europ .	0-0 1-1 4-2 7-3 5-4 6-5 7-6 8-7 8-8 11-9 12-10 9-11 13-12 14-13 15-14 14-15 16-16 19-17	-53.8351486051
ausserd hab wir es bedauert , dass die ergebnis der zwischenbewert oft nicht vergleichbar , quantifizierbar und nutzbar sind , weil ungeeignet und unzulang indikator verwendet werd , weshalb es unbedingt notwend ist , uber objektiv kriteri und geeignet bewertungsmethod zur messung der ergebnis der programm zu verfug .	furthermor , we have note that the result of the interim evalu are frequent not compar or quantifi becaus unsuit and inadequ indic have been employ , which is whi it is absolut necessari for us to have object criteria and more suitabl assess method for assess the result of the programm .	0-0 5-1 2-2 1-3 4-4 6-5 7-6 8-7 9-8 9-9 10-10 39-11 18-12 11-13 12-14 13-15 10-16 15-17 20-18 39-19 22-20 23-21 24-22 1-23 39-24 39-25 33-26 33-27 32-28 28-29 29-30 30-31 30-32 31-33 31-34 39-35 40-36 34-37 35-38 36-39 37-40 38-41 38-42 39-43 39-44 40-45 39-46 42-47 43-48 44-49 44-50 45-51 48-52	-205.756400918
in uns bericht ford wir deshalb die europa kommission und die mitgliedstaat auf , umgeh ein reih von massnahm zu ergreif , sowohl um die kontroll zu verstark als auch um das parlament bess uber die beschloss massnahm zur erhoh der transparenz und zur wirksam ausfuhr der strukturfond zu informi .	in our report , we therefor call upon the european commiss and the member state to adopt a number of action as soon as possibl to strengthen control and to keep parliament better inform of measur adopt to increas transpar and improv the implement of the structur fund .	0-0 1-1 2-2 13-3 4-4 5-5 3-6 3-7 6-8 7-9 8-10 9-11 10-12 11-13 11-14 12-15 14-16 15-17 16-18 17-19 18-20 13-21 14-22 13-23 14-24 26-25 27-26 25-27 42-28 48-29 49-30 32-31 33-32 49-33 17-34 18-35 36-36 38-37 39-38 41-39 42-40 39-41 40-42 45-43 46-44 46-45 47-46 47-47 50-48	-178.163746833
niemand von uns wurd sich im privatleb auf ein geschaft oder ein privat finanzierungsvereinbar einlass , ohn zu wiss , wie und wann dies verpflicht beendet wird .	none of us here would person enter into a busi or privat financi agreement without be sure of how and when that oblig would come to an end .	0-0 1-1 2-2 13-3 3-4 14-5 13-6 14-7 8-8 9-9 10-10 12-11 13-12 13-13 16-14 17-15 13-16 11-17 20-18 21-19 22-20 23-21 24-22 3-23 13-24 17-25 25-26 25-27 27-28	-122.463327272
das liegt oft daran , dass all polit verfugbar finanziell mittel schon fur ein ausreich kofinanzier aufgebraucht werd muss , was ja richtig ist .	thi is often becaus all the fund avail in polit term ha alreadi had to be commit to guarante adequ cofinanc , and rightli so .	0-0 1-1 2-2 3-3 6-4 6-5 10-6 8-7 3-8 7-9 16-10 11-11 11-12 11-13 12-14 17-15 16-16 19-17 16-18 14-19 15-20 19-21 19-22 22-23 21-24 24-25	-118.20956992
ich erwart von der kommission , dass sie nicht mehr business as usual betreibt , sond wied zum motor ein nachhalt entwickl in europa wird .	i expect the commiss to drop it " busi as usual " approach and instead to becom the motor of sustain develop in europ again .	0-0 1-1 3-2 4-3 5-4 12-5 7-6 12-7 10-8 11-9 12-10 12-11 12-12 16-13 12-14 14-15 12-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 16-24 25-25	-91.8968767153
ein zweit faktor besteht darin , dass nur 10 % der intervention der fond fur lokal entwicklungsmassnahm bestimmt sind , obwohl die grosst bevolkerungs- und armutskonzentration in den stadtisch ballungsgebiet registriert werd .	a second factor is that onli 10 % of the intervent from the fund correspond to local develop measur , despit the fact that most popul and poverti is found in urban centr .	0-0 1-1 2-2 3-3 6-4 7-5 8-6 9-7 10-8 10-9 11-10 12-11 12-12 13-13 25-14 14-15 15-16 16-17 16-18 19-19 20-20 21-21 20-22 21-23 22-24 23-25 24-26 25-27 22-28 25-29 26-30 28-31 25-32 32-33	-105.40547579
dies ist im ubrig der richtig weg , die angestrebt partnerschaft umzusetz und zu vervollkommn , natur unt aktiv mitarbeit der kommission und des jeweil staat .	thi is how the requir partnership is implement and integr , provid of cours that the commiss and the state are activ involv .	0-0 1-1 5-2 8-3 14-4 10-5 1-6 11-7 12-8 14-9 15-10 14-11 16-12 16-13 15-14 20-15 21-16 22-17 23-18 25-19 17-20 18-21 19-22 26-23	-92.288430787
der grundsatz der zusatz ist also unbedingt zu berucksicht , und die mitgliedstaat sowi die kommission sollt , vor all angesicht der bevorsteh erweiter , mein eracht gemeinsam leitlini erarbeit und verabschied , die ein integriert ansatz bei der uberpruf der einhalt dies prinzips festleg , wobei natur die besond wirtschaft beding in dem jeweil mitgliedstaat zu beacht sind .	the principl of addition must be taken into seriou account and i believ that the member state and the commiss , in the light of forthcom enlarg , will have to work togeth to draw up and adopt guidelin defin a more integr approach to verifi the applic of thi principl , take into account , of cours , the particular econom situat in each member state .	0-0 1-1 2-2 43-3 6-4 7-5 8-6 8-7 43-8 8-9 10-10 25-11 26-12 26-13 11-14 12-15 12-16 13-17 14-18 15-19 17-20 20-21 21-22 20-23 21-24 22-25 23-26 24-27 31-28 32-29 32-30 29-31 27-32 32-33 29-34 29-35 30-36 31-37 28-38 44-39 34-40 34-41 35-42 36-43 37-44 43-45 42-46 43-47 40-48 42-49 43-50 45-51 8-52 8-53 8-54 9-55 47-56 47-57 48-58 48-59 49-60 50-61 57-62 52-63 54-64 55-65 55-66 59-67	-288.594439806
